Biome_type,Country,Site,Subsite,Latitude,Longitude,Citation,Species,Species_Group,Time_period,Sample Size,Start_year,End_year,Beginning of recruitment period,Approximate Peak recruitment,Start_cover,End_cover,Total_cover_change,Annual.rate,Shrub_change_sum,Shrub_change,Evidence,Method,Cause1,Cause2,Cause3,Cause4,Is there ranking?,Notes
Tundra,Greenland,"Tasiilaq, Southeast Greenland",,65.62,-37.67,Daniëls et al. 2011,Thymus praecox ssp. Arcticus,Species,40,,1967,2007,,,NA,NA,0,0,stable,Stable cover of Salix glauca,cover,Ecological monitoring,climatic warming,decreasing snow accumulation,,,No,These are the two causes given for conspicuous changes.  For stable trend the reason is that human impacts are still low and introduced species have not become naturalized. Check on how to report these for stable and decreasing species. Might be worth separating the analysis into trends. 
Tundra,Greenland,"Tasiilaq, Southeast Greenland",,65.62,-37.67,Daniëls et al. 2011,Loiseleuria procumbens,Species,40,,1967,2007,,,NA,NA,0,0,stable,Stable cover of Salix glauca,cover,Ecological monitoring,climatic warming,decreasing snow accumulation,,,No,These are the two causes given for conspicuous changes.  For stable trend the reason is that human impacts are still low and introduced species have not become naturalized. Check on how to report these for stable and decreasing species. Might be worth separating the analysis into trends. 
Tundra,Russia,"Taz, Russian Arctic",,67.23,74.04,"Frost et al. 2013, Frost & Epstein 2014",Alnus viridis ssp. fruticosa,Species,42,11,1968,2010,unknown,unknown,17.59,18.5,0.91,0.021666667,increase,"Increase (potentially related to freeze-thaw disturbance, i.e., sorted circles and fire at some sites)",cover,"Repeat photography, satellite imagery",mean annual precipitation,mean winter precipitation,summer temperature increase,mean summer precipitation,Yes,Cover values are given in ha rather than %. I have converted them by dividing them by the total land (ha). 
Tundra,Russia,"Uyandi, Russian Arctic",,69.45,141.65,"Frost et al. 2013, Frost & Epstein 2014",Alnus viridis ssp. fruticosa,Species,44,11,1966,2010,unknown,unknown,0.03,0.03,0,0,stable,"Stable (potentially related to freeze-thaw disturbance, i.e., sorted circles and fire at some sites)",cover,"Repeat photography, satellite imagery",mean annual precipitation,mean winter precipitation,summer temperature increase,mean summer precipitation,Yes,Cover values are given in ha rather than %. I have converted them by dividing them by the total land (ha). 
Tundra,Russia,"Velikaya, Russian Arctic",,63.73,175.1,"Frost et al. 2013, Frost & Epstein 2014",Alnus viridis ssp. fruticosa,Species,40,11,1969,2009,unknown,unknown,22.35,22.17,-0.18,-0.0045,decrease,"Decrease (potentially related to freeze-thaw disturbance, i.e., sorted circles and fire at some sites)",cover,"Repeat photography, satellite imagery",mean annual precipitation,mean winter precipitation,summer temperature increase,mean summer precipitation,Yes,Cover values are given in ha rather than %. I have converted them by dividing them by the total land (ha). 
Tundra,Russia,"Yamal-Nenets Okrug, Russia",,67.97,68.79,Forbes et al. 2010,Salix lanata,Species,63,40,1942,2005,unknown,unknown,NA,NA,NA,NA,increase,Increases in annual growth of Salix lanata at all sites and Alnus fruticosa at the southernmost site on Yamal,growth/biomass,"Dendroecology, remote sensing",summer temperatures,,,,,
Tundra,Russia,"Yamal-Nenets Okrug, Russia",,67.97,68.79,Forbes et al. 2010,Alnus fruticosa,Species,63,40,1942,2005,unknown,unknown,NA,NA,NA,NA,increase,Increases in annual growth of Salix lanata at all sites and Alnus fruticosa at the southernmost site on Yamal,growth/biomass,"Dendroecology, remote sensing",summer temperatures,,,,,
Tundra,Greenland,"Zackenberg, Northeast Greenland",,74.28,-21.33,Schmidt et al. 2012,"Shrubs (Cassiope tetragona, Dryas sp, Salix arctica, Vaccninium uliginosum)",Group,11,,1997,2008,,,,,-0.02,-0.001818182,decrease,"Little increase in Salix arctica, probably due to high density of muskoxen",cover,Ecological monitoring,Increased herbivory,,,,,"Start and end values are not reported in percentages, only number of hits"
Tundra,Greenland,"Zackenberg, Northeast Greenland",,74.51,-20.47,Boulanger-Lapointe et al. 2014,Salix arctica,Species,69,30,1940,2009,1920,1950,NA,NA,NA,NA,"increase, decrease","Increase in areas of dense cover, decrease in areas of sparse cover",recruitment,Dendroecology,glacial retreat,soil moisture during growing season,,,No,"No past cover data was available to compare 2009 cover with historical photographs. There is no cover information for Zackenberg, only dendro increase. In Z, most of the willows were established after 1940. therefore the time period calculated here is only approximated. "
Tundra,Svalbard,"Ny Alesund, Svalbard",,78.93,11.83,Robinson et al. 1998,Dryas octopetala,Species,4,4,1991,1995,stable,no,23.5,32.5,9,2.25,increase,non-significant increase,cover,Ecological monitoring,warming temperatures,,,,,
Tundra,Svalbard,"Ny Alesund, Svalbard",,78.93,11.83,Robinson et al. 1998,Salix polaris,Species,4,4,1991,1995,stable,no,0.3,0.4,0.1,0.025,increase,non-significant increase,cover,Ecological monitoring,warming temperatures,,,,,
Tundra,Sweden,"Latnjajaure, Lapland, Sweden",,68.35,18.5,Molau 2010,Vaccinium vitis-idaea,Species,11,12,1995,2006,increase,yes,0.7,6.7,6,0.545454545,cover increased from 2 to 15.3% in the OTCs and from 0.7 to 6.7% in control plots (significant increase),,cover,Ecological monitoring,warming temperatures,prolongation of snow-free season,final degradation of permafrost,drying up of the underlying mineral soil,No,
Tundra,Greenland,"Disko Island, Greenland",Fell-field site,69.255,-53.52,Callaghan et al. 2011,Salix glauca ssp. Calicarpea,Species,42,42,1967,2009,decrease,significance not reported,NA,NA,-1,-0.023809524,decrease,decrease,cover,Ecological monitoring,warming temperatures,,,,,
Tundra,Greenland,"Disko Island, Greenland",Fell-field site,69.255,-53.52,Callaghan et al. 2011,Betula nana,Species,42,42,1967,2009,increase,significance not reported - absent in 1967,0,2.5,2.5,0.05952381,increase,absent in 1967,cover,Ecological monitoring,warming temperatures,,,,,
Tundra,Greenland,"Disko Island, Greenland",Fell-field site,69.255,-53.52,Callaghan et al. 2011,Diapensia lapponica,Species,42,42,1967,2009,increase,significance not reported - absent in 1967,0,2.5,2.5,0.05952381,increase,absent in 1967,cover,Ecological monitoring,warming temperatures,,,,,
Tundra,Greenland,"Disko Island, Greenland",Fell-field site,69.255,-53.52,Callaghan et al. 2011,Dryas integrifolia,Species,42,42,1967,2009,increase,significance not reported,NA,NA,7,0.166666667,increase,,cover,Ecological monitoring,warming temperatures,,,,,
Tundra,Greenland,"Disko Island, Greenland",Fell-field site,69.255,-53.52,Callaghan et al. 2011,Vaccinium uliginosum,Species,42,42,1967,2009,increase,significance not reported,NA,NA,10,0.238095238,increase,,cover,Ecological monitoring,warming temperatures,,,,,
Tundra,Greenland,"Disko Island, Greenland",Primary site,69.255,-53.52,Callaghan et al. 2011,Vaccinium uligonosum ssp.,Species,42,42,1967,2009,increase,significance not reported - absent in 1967,NA,NA,1,0.023809524,increase,absent in 1967,cover,Ecological monitoring,warming temperatures,,,,,
Tundra,Greenland,"Disko Island, Greenland",Primary site,69.255,-53.52,Callaghan et al. 2011,Salix glauca ssp.,Species,42,42,1967,2009,increase,significance not reported,NA,NA,28,0.666666667,increase,,cover,Ecological monitoring,warming temperatures,,,,,
Tundra,Canada,"Hudson Bay, subarctic Québec, Canada",,55.235066,-77.775769,Angers-Blondin & Boudreau 2017,Empetrum nigrum L. subsp. hermaphroditum,Species,5,,2007,2012,,,NA,NA,0.4,0.08,increase,"The plot occupied 200x300m, which is 60,000 sqm. There was an increase in shrub cover of 244.4 sqm, which is 0.4% of the total plot area.",cover,Ecological monitoring,Warming summer temperatures,,,,,
Tundra,Sweden,"Abisko Scientific Research Station, Sweden",,68.21,14.48,Becher et al. 2018,Salix aizoides,Species,28,,1984,2012,,,2.5,3,0.5,0.017857143,increase,Cover increase from 2.5 to 3 (as hit frequency),cover,Ecological monitoring,Decreased cryogenic disturbance (reductions in conditions for freeze and thaw processes),,,,No,
Tundra,Sweden,"Abisko Scientific Research Station, Sweden",,68.21,14.48,Becher et al. 2018,Arctostaphylos alpina,Species,28,,1984,2012,,,1,1.5,0.5,0.017857143,increase,Cover increase from 1 to 1.5 (as hit frequency),cover,Ecological monitoring,Decreased cryogenic disturbance (reductions in conditions for freeze and thaw processes),,,,No,
Tundra,Sweden,"Abisko Scientific Research Station, Sweden",,68.21,14.48,Becher et al. 2018,Dryas octopetala,Species,28,,1984,2012,,,4.5,8,3.5,0.125,increase,4.5 to 8,cover,Ecological monitoring,Decreased cryogenic disturbance (reductions in conditions for freeze and thaw processes),,,,No,
Tundra,Sweden,"Abisko Scientific Research Station, Sweden",,68.21,14.48,Becher et al. 2018,Vaccinium uliginosum,Species,28,,1984,2012,,,0,1,1,0.035714286,increase,Colonization from 0 to 1 cover (not present in first survey),recruitment,Ecological monitoring,Decreased cryogenic disturbance (reductions in conditions for freeze and thaw processes),,,,No,
Tundra,Sweden,"Abisko Scientific Research Station, Sweden",,68.21,14.48,Becher et al. 2018,Salix myrsinifolia,Species,28,,1984,2012,,,0,1,1,0.035714286,increase,Colonization from 0 to 1 cover (not present in first survey),recruitment,Ecological monitoring,Decreased cryogenic disturbance (reductions in conditions for freeze and thaw processes),,,,No,
Tundra,Sweden,"Abisko Scientific Research Station, Sweden",,68.21,14.48,Becher et al. 2018,Rhododendron lapponicum,Species,28,,1984,2012,,,0,1.5,1.5,0.053571429,increase,Colonization from 0 to 1.5 cover (not present in first survey),recruitment,Ecological monitoring,Decreased cryogenic disturbance (reductions in conditions for freeze and thaw processes),,,,No,
Tundra,Sweden,"Abisko Scientific Research Station, Sweden",,68.21,14.48,Becher et al. 2018,Empetrum nigrum ,Species,28,,1984,2012,,,0,1.5,1.5,0.053571429,increase,Colonization from 0 to 1.5 cover (not present in first survey),recruitment,Ecological monitoring,Decreased cryogenic disturbance (reductions in conditions for freeze and thaw processes),,,,No,
Tundra,Sweden,"Abisko Scientific Research Station, Sweden",,68.21,14.48,Becher et al. 2018,Betula nana,Species,28,,1984,2012,,,0,2,2,0.071428571,increase,Colonization from 0 to 2 cover (not present in first survey),recruitment,Ecological monitoring,Decreased cryogenic disturbance (reductions in conditions for freeze and thaw processes),,,,No,
Tundra,USA,"Denali National Park, Alaska",,63.616,-150.738,Brodie et al. 2019,Shrubs,Group,54,,1956,2010,,,61.1,60.1,-1,-0.018518519,decrease,,cover,Repeat photography,Warming temperatures,Decline in permafrost,,,,
