Number,Citation,Country,Site,Continent,Vegetation.Description,Biome,Biome_type,Area.Sampled.km2,Method,Start_cover,End_cover,Total_cover_change,Start_year,End_year,Time_period,Annual.rate,Landuse,Species,Woody.functional.type,Species_Group,Latitude,Longitude,Rainfall,Temp,Causes,Drivers,Notes,MGC questions
,Axelsson and Hanan 2018,Mali,MALA15,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,2.37,2.58,0.21,2003,2012,9,0.023333333,Rangelands,trees/shrubs,Woody plants,Group,16.66944105,-2.132238333,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB1,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,7.96,9.31,1.35,2004,2015,11,0.122727273,Rangelands,trees/shrubs,Woody plants,Group,14.86930184,-7.401750751,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB2,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,12.16,11.21,-0.95,2004,2015,11,-0.086363636,Rangelands,trees/shrubs,Woody plants,Group,14.72779486,-7.380412643,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Mali,MALB3,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,7.45,8.14,0.69,2004,2015,11,0.062727273,Rangelands,trees/shrubs,Woody plants,Group,14.68920578,-7.363204489,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB4,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,3.83,5.98,2.15,2004,2015,11,0.195454545,Rangelands,trees/shrubs,Woody plants,Group,14.64422909,-7.435525381,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB5,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,4.73,8.34,3.61,2004,2015,11,0.328181818,Rangelands,trees/shrubs,Woody plants,Group,14.61199686,-7.34283587,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB6,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,13.93,11.46,-2.47,2004,2015,11,-0.224545455,Rangelands,trees/shrubs,Woody plants,Group,14.52767147,-7.430691061,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Mali,MALB7,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,15.09,12.28,-2.81,2004,2015,11,-0.255454545,Rangelands,trees/shrubs,Woody plants,Group,14.52028687,-7.392715122,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Mali,MALB8,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,9.35,13.25,3.9,2004,2015,11,0.354545455,Rangelands,trees/shrubs,Woody plants,Group,14.39385569,-7.418095576,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB9,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,23.79,30.76,6.97,2004,2015,11,0.633636364,Rangelands,trees/shrubs,Woody plants,Group,14.30885301,-7.418526785,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB10,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,22.68,20.78,-1.9,2004,2015,11,-0.172727273,Rangelands,trees/shrubs,Woody plants,Group,14.35394618,-7.338446611,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Mali,MALB11,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,6.21,4.94,-1.27,2004,2015,11,-0.115454545,Rangelands,trees/shrubs,Woody plants,Group,14.9038104,-7.350471959,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Mali,MALB12,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,9.23,9.28,0.05,2004,2015,11,0.004545455,Rangelands,trees/shrubs,Woody plants,Group,14.82435034,-7.426896967,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB13,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,4.84,6.35,1.51,2004,2015,11,0.137272727,Rangelands,trees/shrubs,Woody plants,Group,14.84059201,-7.347318757,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB14,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,6.22,8.86,2.64,2004,2015,11,0.24,Rangelands,trees/shrubs,Woody plants,Group,14.79991285,-7.406482351,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB15,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,11.02,13.2,2.18,2004,2015,11,0.198181818,Rangelands,trees/shrubs,Woody plants,Group,14.79632611,-7.342271884,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB16,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,7.23,9.61,2.38,2004,2015,11,0.216363636,Rangelands,trees/shrubs,Woody plants,Group,14.75825607,-7.425309333,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB17,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,8.12,9.06,0.94,2004,2015,11,0.085454545,Rangelands,trees/shrubs,Woody plants,Group,14.75853642,-7.359389018,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mali,MALB18,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,6.4,8.69,2.29,2004,2015,11,0.208181818,Rangelands,trees/shrubs,Woody plants,Group,14.70787688,-7.417951214,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZA1,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,30.16,41.02,10.86,2004,2014,10,1.086,Rangelands,trees/shrubs,Woody plants,Group,-23.91869281,32.20517845,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZA2,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,70.48,77.7,7.22,2004,2014,10,0.722,Rangelands,trees/shrubs,Woody plants,Group,-23.91670825,32.24026467,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZA3,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,38.35,33.66,-4.69,2004,2014,10,-0.469,Rangelands,trees/shrubs,Woody plants,Group,-23.95440063,32.17271346,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Mozambique,MOZA4,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,52.08,65.84,13.76,2004,2014,10,1.376,Rangelands,trees/shrubs,Woody plants,Group,-23.96237292,32.23328276,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZA5,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,15.09,24.37,9.28,2004,2014,10,0.928,Rangelands,trees/shrubs,Woody plants,Group,-23.99994433,32.16080121,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZA6,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,15.8,29.08,13.28,2004,2014,10,1.328,Rangelands,trees/shrubs,Woody plants,Group,-24.00739014,32.19639735,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZA7,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,23.36,30.55,7.19,2004,2014,10,0.719,Rangelands,trees/shrubs,Woody plants,Group,-23.97125048,32.19654647,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZA8,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,5.82,34.08,28.26,2004,2014,10,2.826,Rangelands,trees/shrubs,Woody plants,Group,-23.99965156,32.23955061,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZB1,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,87.89,89.73,1.84,2004,2014,10,0.184,Rangelands,trees/shrubs,Woody plants,Group,-13.52195391,35.5578622,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZB2,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,60.95,67.49,6.54,2004,2014,10,0.654,Rangelands,trees/shrubs,Woody plants,Group,-13.63669033,35.64169782,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZB3,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,74.69,77.34,2.65,2004,2014,10,0.265,Rangelands,trees/shrubs,Woody plants,Group,-13.59949401,35.59938522,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZB4,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,79.57,81.91,2.34,2004,2014,10,0.234,Rangelands,trees/shrubs,Woody plants,Group,-13.51996559,35.6400924,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZB5,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,81.57,87.17,5.6,2004,2014,10,0.56,Rangelands,trees/shrubs,Woody plants,Group,-13.55815537,35.5228366,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZB6,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,84.03,84.14,0.11,2004,2014,10,0.011,Rangelands,trees/shrubs,Woody plants,Group,-13.55729533,35.5579977,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZB7,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,63.19,81.55,18.36,2004,2014,10,1.836,Rangelands,trees/shrubs,Woody plants,Group,-13.5599979,35.60081741,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZB8,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,55.62,65.78,10.16,2004,2014,10,1.016,Rangelands,trees/shrubs,Woody plants,Group,-13.5615848,35.64139774,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZB9,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,67.95,78.6,10.65,2004,2014,10,1.065,Rangelands,trees/shrubs,Woody plants,Group,-13.59824764,35.638808,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Mozambique,MOZB10,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,49.63,55.78,6.15,2004,2014,10,0.615,Rangelands,trees/shrubs,Woody plants,Group,-13.67983832,35.64187075,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC1,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,28.83,21.31,-7.52,2003,2013,10,-0.752,Rangelands,trees/shrubs,Woody plants,Group,-18.96644146,18.48338952,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMC2,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,34.74,39.18,4.44,2003,2013,10,0.444,Rangelands,trees/shrubs,Woody plants,Group,-19.14420122,18.53257061,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC3,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,43.65,34.84,-8.81,2003,2013,10,-0.881,Rangelands,trees/shrubs,Woody plants,Group,-19.31477287,18.53967255,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMC4,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,12.88,32.41,19.53,2003,2013,10,1.953,Rangelands,trees/shrubs,Woody plants,Group,-19.52552032,18.43141001,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC5,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,12.7,17.84,5.14,2003,2013,10,0.514,Rangelands,trees/shrubs,Woody plants,Group,-19.50794417,18.53824486,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC6,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,22.3,37.3,15,2003,2013,10,1.5,Rangelands,trees/shrubs,Woody plants,Group,-18.98102362,18.53170806,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC7,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,12.66,15.32,2.66,2003,2013,10,0.266,Rangelands,trees/shrubs,Woody plants,Group,-19.59345068,18.4887155,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC8,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,8.33,12.26,3.93,2003,2013,10,0.393,Rangelands,trees/shrubs,Woody plants,Group,-19.58722039,18.53764421,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC9,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,19.66,20,0.34,2003,2013,10,0.034,Rangelands,trees/shrubs,Woody plants,Group,-19.67725698,18.41611072,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC10,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,18.1,21.15,3.05,2003,2013,10,0.305,Rangelands,trees/shrubs,Woody plants,Group,-19.67831537,18.47683381,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC11,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,46,49.3,3.3,2003,2013,10,0.33,Rangelands,trees/shrubs,Woody plants,Group,-19.67178427,18.53275767,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC12,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,39.24,39.49,0.25,2003,2013,10,0.025,Rangelands,trees/shrubs,Woody plants,Group,-19.80121729,18.41857914,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC13,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,38.48,26.88,-11.6,2003,2013,10,-1.16,Rangelands,trees/shrubs,Woody plants,Group,-19.79826642,18.47643733,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMC14,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,42.89,56.67,13.78,2003,2013,10,1.378,Rangelands,trees/shrubs,Woody plants,Group,-19.79959708,18.53982842,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC15,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,45.02,35.7,-9.32,2003,2013,10,-0.932,Rangelands,trees/shrubs,Woody plants,Group,-19.88408679,18.53822082,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMC16,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,28.66,55.61,26.95,2003,2013,10,2.695,Rangelands,trees/shrubs,Woody plants,Group,-19.88740224,18.41296924,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC17,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,38.05,25.11,-12.94,2003,2013,10,-1.294,Rangelands,trees/shrubs,Woody plants,Group,-19.03342453,18.40494027,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMC18,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,10.07,29.73,19.66,2003,2013,10,1.966,Rangelands,trees/shrubs,Woody plants,Group,-19.87719074,18.47036203,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC19,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,23.15,17.36,-5.79,2003,2013,10,-0.579,Rangelands,trees/shrubs,Woody plants,Group,-19.95435953,18.5378981,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMC20,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,14.64,31.71,17.07,2003,2013,10,1.707,Rangelands,trees/shrubs,Woody plants,Group,-19.96065981,18.48171065,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC21,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,22.4,15.64,-6.76,2003,2013,10,-0.676,Rangelands,trees/shrubs,Woody plants,Group,-19.02342992,18.44738175,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMC22,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,39.09,49.5,10.41,2003,2013,10,1.041,Rangelands,trees/shrubs,Woody plants,Group,-19.03629524,18.52675079,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC23,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,36.72,23.4,-13.32,2003,2013,10,-1.332,Rangelands,trees/shrubs,Woody plants,Group,-19.0894989,18.48881379,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMC24,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,10.25,11.68,1.43,2003,2013,10,0.143,Rangelands,trees/shrubs,Woody plants,Group,-19.15992131,18.4004224,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMC25,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,37.72,46.44,8.72,2003,2013,10,0.872,Rangelands,trees/shrubs,Woody plants,Group,-19.15108721,18.48052508,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMD1,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,8.58,10.45,1.87,2003,2013,10,0.187,Rangelands,trees/shrubs,Woody plants,Group,-22.10960649,18.75808425,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMD2,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,13.43,9.02,-4.41,2003,2013,10,-0.441,Rangelands,trees/shrubs,Woody plants,Group,-22.52538612,18.72427444,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMD3,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,7.6,5.01,-2.59,2003,2013,10,-0.259,Rangelands,trees/shrubs,Woody plants,Group,-22.50361063,18.8326074,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMD4,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,9.36,5.25,-4.11,2003,2013,10,-0.411,Rangelands,trees/shrubs,Woody plants,Group,-22.58838471,18.73869512,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMD5,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,14.42,15.88,1.46,2003,2013,10,0.146,Rangelands,trees/shrubs,Woody plants,Group,-22.58582502,18.83913243,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMD6,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,9.5,8.93,-0.57,2003,2013,10,-0.057,Rangelands,trees/shrubs,Woody plants,Group,-22.67301851,18.73081758,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMD7,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,5.12,5.33,0.21,2003,2013,10,0.021,Rangelands,trees/shrubs,Woody plants,Group,-22.67651809,18.83114183,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMD8,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,10.45,9.7,-0.75,2003,2013,10,-0.075,Rangelands,trees/shrubs,Woody plants,Group,-22.74268325,18.71933143,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMD9,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,8.48,12.26,3.78,2003,2013,10,0.378,Rangelands,trees/shrubs,Woody plants,Group,-22.74769606,18.80393504,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMD10,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,11.16,11.95,0.79,2003,2013,10,0.079,Rangelands,trees/shrubs,Woody plants,Group,-22.83470524,18.72714949,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMD11,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,5.67,5.81,0.14,2003,2013,10,0.014,Rangelands,trees/shrubs,Woody plants,Group,-22.14866895,18.7278552,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMD12,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,17.18,18.58,1.4,2003,2013,10,0.14,Rangelands,trees/shrubs,Woody plants,Group,-22.94833205,18.74964334,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMD13,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,15.69,20.94,5.25,2003,2013,10,0.525,Rangelands,trees/shrubs,Woody plants,Group,-22.95682592,18.83024361,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMD14,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,12.67,12.82,0.15,2003,2013,10,0.015,Rangelands,trees/shrubs,Woody plants,Group,-22.17383199,18.81684044,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMD15,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,9.43,8.73,-0.7,2003,2013,10,-0.07,Rangelands,trees/shrubs,Woody plants,Group,-22.26728636,18.72264124,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMD16,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,13.5,14.85,1.35,2003,2013,10,0.135,Rangelands,trees/shrubs,Woody plants,Group,-22.27700837,18.82385607,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAMD17,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,13.64,9.85,-3.79,2003,2013,10,-0.379,Rangelands,trees/shrubs,Woody plants,Group,-22.3524859,18.73226405,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMD18,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,13.76,8.58,-5.18,2003,2013,10,-0.518,Rangelands,trees/shrubs,Woody plants,Group,-22.35378519,18.84209982,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAMD19,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,5.31,6.05,0.74,2003,2013,10,0.074,Rangelands,trees/shrubs,Woody plants,Group,-22.4376953,18.73380225,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAME1,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,8.73,11.87,3.14,2003,2015,12,0.261666667,Rangelands,trees/shrubs,Woody plants,Group,-24.72495927,17.56713465,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAME2,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,14.81,13.76,-1.05,2003,2015,12,-0.0875,Rangelands,trees/shrubs,Woody plants,Group,-24.89356335,17.50770141,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAME3,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,3.31,3.52,0.21,2003,2015,12,0.0175,Rangelands,trees/shrubs,Woody plants,Group,-24.30520679,17.56479418,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAME4,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,4.49,3.96,-0.53,2003,2015,12,-0.044166667,Rangelands,trees/shrubs,Woody plants,Group,-24.46065753,17.57178928,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Namibia,NAME5,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,6.22,7.71,1.49,2003,2015,12,0.124166667,Rangelands,trees/shrubs,Woody plants,Group,-24.48476308,17.51025067,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAME6,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,5.12,6.93,1.81,2003,2015,12,0.150833333,Rangelands,trees/shrubs,Woody plants,Group,-24.51198044,17.56954536,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Namibia,NAME7,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,6.5,8.57,2.07,2003,2015,12,0.1725,Rangelands,trees/shrubs,Woody plants,Group,-24.61417149,17.46893183,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Niger,NIGA1,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,1.86,1.82,-0.04,2004,2014,10,-0.004,Rangelands,trees/shrubs,Woody plants,Group,13.99960547,11.28092022,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Niger,NIGA2,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,3.35,5.98,2.63,2004,2014,10,0.263,Rangelands,trees/shrubs,Woody plants,Group,13.76002044,11.35954548,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Niger,NIGA3,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,1.67,1.49,-0.18,2004,2014,10,-0.018,Rangelands,trees/shrubs,Woody plants,Group,13.72028148,11.3595159,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Niger,NIGA4,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,1.06,0.8,-0.26,2004,2014,10,-0.026,Rangelands,trees/shrubs,Woody plants,Group,13.68003468,11.28039613,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Niger,NIGA5,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,0.4,0.33,-0.07,2004,2014,10,-0.007,Rangelands,trees/shrubs,Woody plants,Group,13.64159089,11.28090791,,,fire frequency and herbivory,Increased grazing,,
,Axelsson and Hanan 2018,Niger,NIGA6,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,2.44,5.87,3.43,2004,2014,10,0.343,Rangelands,trees/shrubs,Woody plants,Group,13.63941123,11.31981134,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Niger,NIGA7,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,0.58,2.24,1.66,2004,2014,10,0.166,Rangelands,trees/shrubs,Woody plants,Group,13.64411493,11.35202231,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Niger,NIGA8,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,2.41,3.98,1.57,2004,2014,10,0.157,Rangelands,trees/shrubs,Woody plants,Group,13.61668507,11.28240618,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Niger,NIGA9,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,2.37,4.78,2.41,2004,2014,10,0.241,Rangelands,trees/shrubs,Woody plants,Group,13.61979981,11.35899054,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Niger,NIGA10,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,2.63,3.13,0.5,2004,2014,10,0.05,Rangelands,trees/shrubs,Woody plants,Group,13.99696306,11.35751846,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Niger,NIGA11,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,3.9,4.28,0.38,2004,2014,10,0.038,Rangelands,trees/shrubs,Woody plants,Group,13.96004158,11.27979128,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Niger,NIGA12,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,1.78,3.21,1.43,2004,2014,10,0.143,Rangelands,trees/shrubs,Woody plants,Group,13.92067529,11.27994492,,,Increased rainfall,Increased rainfall,,
,Axelsson and Hanan 2018,Niger,NIGA13,Africa,savanna,savanna,Savanna,,very high resolution satellite imagery,1.24,2.44,1.2,2004,2014,10,0.12,Rangelands,trees/shrubs,Woody plants,Group,13.92398346,11.31996174,,,Increased rainfall,Increased rainfall,,
